,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Age Group
0,1,2023-11-24,CUST001,1,34,2,3,50,150,11,"(25, 35]"
1,2,2023-02-27,CUST002,0,26,1,2,500,1000,2,"(25, 35]"
2,3,2023-01-13,CUST003,1,50,0,1,30,30,1,"(45, 65]"
3,4,2023-05-21,CUST004,1,37,1,1,500,500,5,"(35, 45]"
4,5,2023-05-06,CUST005,1,30,2,2,50,100,5,"(25, 35]"
5,6,2023-04-25,CUST006,0,45,2,1,30,30,4,"(35, 45]"
6,7,2023-03-13,CUST007,1,46,1,2,25,50,3,"(45, 65]"
7,8,2023-02-22,CUST008,1,30,0,4,25,100,2,"(25, 35]"
8,9,2023-12-13,CUST009,1,63,0,2,300,600,12,"(45, 65]"
9,10,2023-10-07,CUST010,0,52,1,4,50,200,10,"(45, 65]"
10,11,2023-02-14,CUST011,1,23,1,2,50,100,2,"(18, 25]"
11,12,2023-10-30,CUST012,1,35,2,3,25,75,10,"(25, 35]"
12,13,2023-08-05,CUST013,1,22,0,3,500,1500,8,"(18, 25]"
13,14,2023-01-17,CUST014,1,64,1,4,30,120,1,"(45, 65]"
14,15,2023-01-16,CUST015,0,42,0,4,500,2000,1,"(35, 45]"
15,16,2023-02-17,CUST016,1,19,1,3,500,1500,2,"(18, 25]"
16,17,2023-04-22,CUST017,0,27,1,4,25,100,4,"(25, 35]"
17,18,2023-04-30,CUST018,0,47,0,2,25,50,4,"(45, 65]"
18,19,2023-09-16,CUST019,0,62,1,2,25,50,9,"(45, 65]"
19,20,2023-11-05,CUST020,1,22,1,3,300,900,11,"(18, 25]"
20,21,2023-01-14,CUST021,0,50,2,1,500,500,1,"(45, 65]"
21,22,2023-10-15,CUST022,1,18,1,2,50,100,10,
22,23,2023-04-12,CUST023,0,35,1,4,30,120,4,"(25, 35]"
23,24,2023-11-29,CUST024,0,49,1,1,300,300,11,"(45, 65]"
24,25,2023-12-26,CUST025,0,64,2,1,50,50,12,"(45, 65]"
25,26,2023-10-07,CUST026,0,28,0,2,500,1000,10,"(25, 35]"
26,27,2023-08-03,CUST027,0,38,2,2,25,50,8,"(35, 45]"
27,28,2023-04-23,CUST028,0,43,2,1,500,500,4,"(35, 45]"
28,29,2023-08-18,CUST029,0,42,0,1,30,30,8,"(35, 45]"
29,30,2023-10-29,CUST030,0,39,2,3,300,900,10,"(35, 45]"
30,31,2023-05-23,CUST031,1,44,0,4,300,1200,5,"(35, 45]"
31,32,2023-01-04,CUST032,1,30,2,3,30,90,1,"(25, 35]"
32,33,2023-03-23,CUST033,0,50,0,2,50,100,3,"(45, 65]"
33,34,2023-12-24,CUST034,0,51,1,3,50,150,12,"(45, 65]"
34,35,2023-08-05,CUST035,0,58,2,3,300,900,8,"(45, 65]"
35,36,2023-06-24,CUST036,1,52,2,3,300,900,6,"(45, 65]"
36,37,2023-05-23,CUST037,0,18,2,3,25,75,5,
37,38,2023-03-21,CUST038,1,38,2,4,50,200,3,"(35, 45]"
38,39,2023-04-21,CUST039,1,23,1,4,30,120,4,"(18, 25]"
39,40,2023-06-22,CUST040,1,45,2,1,50,50,6,"(35, 45]"
40,41,2023-02-22,CUST041,1,34,1,2,25,50,2,"(25, 35]"
41,42,2023-02-17,CUST042,1,22,1,3,300,900,2,"(18, 25]"
42,43,2023-07-14,CUST043,0,48,1,1,300,300,7,"(45, 65]"
43,44,2023-02-19,CUST044,0,22,1,1,25,25,2,"(18, 25]"
44,45,2023-07-03,CUST045,0,55,0,1,30,30,7,"(45, 65]"
45,46,2023-06-26,CUST046,0,20,0,4,300,1200,6,"(18, 25]"
46,47,2023-11-06,CUST047,0,40,2,3,500,1500,11,"(35, 45]"
47,48,2023-05-16,CUST048,1,54,0,3,300,900,5,"(45, 65]"
48,49,2023-01-23,CUST049,0,54,0,2,500,1000,1,"(45, 65]"
49,50,2023-08-24,CUST050,0,27,2,3,25,75,8,"(25, 35]"
50,51,2023-10-02,CUST051,1,27,2,3,25,75,10,"(25, 35]"
51,52,2023-03-05,CUST052,0,36,2,1,300,300,3,"(35, 45]"
52,53,2023-07-13,CUST053,1,34,0,2,50,100,7,"(25, 35]"
53,54,2023-02-10,CUST054,0,38,0,3,500,1500,2,"(35, 45]"
54,55,2023-10-10,CUST055,1,31,2,4,30,120,10,"(25, 35]"
55,56,2023-05-31,CUST056,0,26,1,3,300,900,5,"(25, 35]"
56,57,2023-11-18,CUST057,0,63,2,1,30,30,11,"(45, 65]"
57,58,2023-11-13,CUST058,1,18,1,4,300,1200,11,
58,59,2023-07-05,CUST059,1,62,1,1,50,50,7,"(45, 65]"
59,60,2023-10-23,CUST060,1,30,2,3,50,150,10,"(25, 35]"
60,61,2023-04-09,CUST061,1,21,2,4,50,200,4,"(18, 25]"
61,62,2023-12-27,CUST062,1,18,2,2,50,100,12,
62,63,2023-02-05,CUST063,1,57,0,2,25,50,2,"(45, 65]"
